OI51_S78 361
OI53_S76 48
OI7_S24 3489
OI8_S25 410
OI9_S26 155
PC100_S268 48
PC19_S143 0
PC20_S21 0
PC21_S2 46
PC22_S3 0
PC23_S6 5307
PC25_S142 2450
PC27_S265 0
PC28_S196 773
PC29_S52 0
PC2_S25 2705
PC30-redeposit_S2 0
PC31_S170 10
PC32_S173 10580
PC33_S141 1716
PC34_S133 10
PC35_S39 3489
PC36_S41 38
PC37_S68 2705
PC38_S33 716
PC39_S36 542
PC40_S44 361
PC41-redeposit_S4 2705
PC42_S72 1114
PC45_S25 2690
PC46_S26 2690
PC47_S24 0
PC4_S22 685
PC51_S27 0
PC52_S28 2690
PC53_S29 3489
PC54_S30 3489
PC55_S31 10
PC56_S89 540
PC57_S90 155
PC58_S91 398
PC59_S92 540
PC5_S36 2705
PC60_S93 746
PC61_S94 540
PC62_S95 540
PC63_S96 1141
PC65_S97 2705
PC66_S98 1141
PC67_S99 7176
PC68_S100 7176
PC70_S1 1722
PC75_S134 10
PC76_S108 0
PC77_S36 0
PC78_S122 6782
PC80_S126 1722
PC81_S145 716
PC82_S91 3489
PC83_S139 206
PC84_S127 0
PC85_S132 10
PC86_S133 6782
PC87_S135 1312
PC89_S92 656
PC91_S107 2705
PC92_S73 1421
PC94_S12 44
PC95_S80 1141
PC98_S157 0
PC99_S154 48
PG100_S42 10
PG101_S40 617
PG102_S35 2172
PG103_S34 2172
PG104_S70 226
PG108_S269 1139
PG10_S44 6781
PG115_S200 0
PG121_S50 131
PG124_S37 746
PG128_S24 746
PG136_S26 0
PG137_S205 0
PG145-redeposit_S10 10
PG147_S112 48
PG166_S136 3489
PG178_S2 2705
PG179_S3 3489
PG181_S4 1423
PG189_S5 4691
PG195_S6 0
PG199_S7 0
PG1_S3 46
PG200_S8 648
PG202_S9 155
PG203_S10 3489
PG205_S11 3489
PG206_S12 716
PG207_S13 540
PG210_S14 155
PG211_S15 156
PG212_S16 2705
PG213_S17 2690
PG214_S18 10
PG216_S19 1141
PG217_S20 542
PG218_S21 3489
PG227_S3 155
PG231_S23 617
PG239_S37 602
PG248_S124 716
PG250_S3 716
PG251_S4 542
PG253_S5 38
PG254_S6 46
PG258_S124 716
PG259_S125 716
PG263-redeposit_S3 716
PG265_S127 716
PG266_S128 3489
PG267_S129 48
PG268_S130 716
PG269_S131 1011
PG270_S132 617
PG271_S133 1312
PG273_S20 2705
PG280_S155 131
PG283_S156 7122
PG285_S154 131
PG289_S145 3489
PG294_S21 716
PG295_S4 648
PG297_S17 716
PG298_S129 542
PG299_S9 48
PG3-redeposit_S1 1140
PG304_S20 3489
PG306_S18 156
PG307_S116 3489
PG308_S120 0
PG309_S119 156
PG310_S136 602
PG311_S125 1722
PG312_S140 3489
PG314_S141 3489
PG315_S151 361
PG316_S144 656
PG317_S150 3489
PG319_S121 2936
PG31_S122 46
PG320_S131 156
PG321_S117 0
PG324_S112 0
PG335_S110 46
PG336_S113 3489
PG33_S193 354
PG340_S90 3203
PG344_S89 2705
PG348_S264 46
PG358_S265 7588
PG35_S55 2705
PG360_S116 1140
PG361_S266 48
PG362_S71 4038
PG363_S267 4038
PG364_S149 0
PG366_S15 0
PG367_S72 398
PG370_S270 617
PG373-redeposit_S1 48
PG381_S147 48
PG385_S10 226
PG394_S14 226
PG39_S201 5307
PG40_S28 0
PG46_S133 10
PG47_S192 46
PG48_S134 2705
PG53_S194 3489
PG56-redeposit_S3 131
PG58_S48 131
PG63_S171 131
PG64_S38 131
PG69-redeposit_S5 1139
PG70_S34 3489
PG72_S73 746
PG75_S148 206
PG76_S139 716
PG78_S202 716
PG7_S35 2690
PG8-redeposit_S148 3489
PG83_S134 0
PG85_S13 131
PG86_S135 2450
PG88_S65 2450
PG89_S145 1312
PG90_S138 1722
PG92_S51 4681
PG94_S12 1312
PH10_S160 361
PH11_S157 1312
PH12_S4 2705
PH13_S87 2705
PH14-redeposit_S9 542
PH15_S144 685
PH16_S88 5044
PH5_S105 3489
PH6_S106 3489
PH7_S161 0
PH8_S162 44
PH9_S146 7059
PP12_S88 0
PP19_S107 167
