"sample","Host"
"PG70_S34","Poultry"
"PG72_S73","Poultry"
"PG75_S148","Poultry"
"PG76_S139","Poultry"
"PG78_S202","Poultry"
"PG8-redeposit_S148","Poultry"
"PG83_S134","Poultry"
"PG85_S13","Poultry"
"PG86_S135","Poultry"
"PG88_S65","Poultry"
"PG89_S145","Poultry"
"PG90_S138","Poultry"
"PG92_S51","Poultry"
"PG94_S12","Poultry"
"PH10_S160","Poultry"
"PH11_S157","Poultry"
"PH12_S4","Poultry"
"PH13_S87","Poultry"
"PH14-redeposit_S9","Poultry"
"PH15_S144","Poultry"
"PH16_S88","Poultry"
"PH5_S105","Poultry"
"PH6_S106","Poultry"
"PH7_S161","Poultry"
"PH8_S162","Poultry"
"PH9_S146","Poultry"
"PP12_S88","Poultry"
"PP19_S107","Poultry"
