H79	6449
H76	6143
H74	648
H73	131
H71	648
PG136	12821
PC76	0
CN56	12780
H93	6143
H94	1140
CN51	337
H97	131
H99	394
CN58	484
CN59	12780
PG83	0
PC75	10
PG86	2450
PG85	131
H3	617
PG89	1312
H1	710
H7	1727
H190	8881
H191	3489
H196	13247
H194	2705
H198	167
E37	12821
E35	1727
E33	226
E30	44
PG344	2705
PG340	3203
PG348	46
CH10	12821
CH16	206
CH17	43
CH14	48
CH15	38
PG265	716
PG266	3489
CH19	12821
PG35	2705
PG33	354
PG31	46
PG39	5307
PG145-redeposit	10
PG56-redeposit	131
PH14-redeposit	542
CT21	2450
CT20	48
CT27	131
H307	3489
H308	2705
CN83-redeposit	394
PP12	12821
PP19	167
H164	131
PG178	2705
PG179	3489
PG263-redeposit	716
H248	3489
H249	206
CN1	6782
H242	12821
H241	226
PC100	48
H245	1139
CN18	155
CN12	1722
CN13	43
CN14	0
CN15	2450
CN16	2450
CN17	2172
OI29	206
OI26	2705
OI27	2705
OI24	656
OI25	44
OI23	716
OI21	48
PG189	4691
H42	44
PG181	1423
H49	4681
