"";"CLUSTER";"meanSNP";"maxSNP";"nHousehold";"nHost";"Households";"Samples";"HostType";"pvalpop";"pvalfoy"
"45";467;3,33333333333333;5;3;3;"57,52,33,";"PG321_S117,PH7_S161,PP12_S88,";"Chicken,Chicken,Chicken,";0,7299;0,6932
"46";476;7,66666666666667;9;4;4;"2,27,56,52,";"CH2_S71,CH35_S140,PG315_S151,PH10_S160,";"Dog,Dog,Chicken,Chicken,";0,4518;0,3161
"47";497;3,33333333333333;4;2;3;"17,15,17,";"CH22_S41,H76_S107,H93_S1,";"Dog,Human,Human,";0,5018;0,768
"48";505;6;6;1;2;"12,12,";"PG76_S139,PG78_S202,";"Chicken,Chicken,";0,8843;0,5102
"49";548;4,5;7;4;4;"36,69,47,54,";"BV43_S31,H348_S148,PG267_S129,PG299_S9,";"Cattle,Human,Chicken,Chicken,";0,6857;1
"50";549;7;7;2;2;"53,51,";"H265_S151,OI28-redep_S1,";"Human,Goose,";0,4178;0,3469
"51";563;1;1;2;2;"57,35,";"CN65_S114,PC47_S24,";"Duck,Pig,";0,3917;0,4628
"52";569;13,3333333333333;18;3;4;"44,44,68,39,";"PC63_S96,PC66_S98,PC95_S80,PG216_S19,";"Pig,Pig,Pig,Chicken,";0,3091;0,6284
"53";571;4;5;4;4;"24,68,59,23,";"CH32_S172,CN85_S93,DI13_S156,H129_S53,";"Dog,Duck,Turkey,Human,";0,1337;0,4601
"54";572;2,8;4;4;5;"12,24,50,55,12,";"CH16_S14,CH33_S174,E73_S19,PC83_S139,PG75_S148,";"Dog,Dog,Water,Pig,Chicken,";0,2196;0,6921
"55";577;5,4;6;4;5;"2,24,2,55,54,";"BV4_S105,CH31_S47,H13_S56,PC81_S145,PG297_S17,";"Cattle,Dog,Human,Pig,Chicken,";0,6406;0,9153
"56";593;0;0;2;2;"17,55,";"PC30-redeposit_S2,PC77_S36,";"Pig,Pig,";0,2472;1
"57";598;3;3;2;2;"55,44,";"CV9_S112,PG254_S6,";"Horse,Chicken,";0,0164;0,0865
"58";601;3;3;2;2;"67,59,";"CT66_S265,PG335_S110,";"Cat,Chicken,";0,2818;0,4339
"59";603;10,4;14;4;5;"52,54,55,16,16,";"CH74_S18,CN56_S69,CN59_S118,PC27_S265,PC29_S52,";"Dog,Duck,Duck,Pig,Pig,";0,163;0,2399
"60";605;1,83333333333333;3;3;4;"59,6,60,60,";"CN79_S90,PG35_S55,PH12_S4,PH13_S87,";"Duck,Chicken,Chicken,Chicken,";0,7106;0,8646
"61";606;2,16666666666667;4;4;4;"51,22,2,44,";"OI27_S4,PC41-redeposit_S4,PC5_S36,PC65_S97,";"Goose,Pig,Pig,Pig,";0,0825;0,8968
"62";619;5,66666666666667;8;2;3;"1,55,55,";"CN1_S196,PC78_S122,PC86_S133,";"Duck,Pig,Pig,";0,2494;0,6047
"63";623;3;3;1;2;"6,6,";"PC23_S6,PG39_S201,";"Pig,Chicken,";0,8067;1
"64";635;4,33333333333333;6;3;3;"40,60,39,";"CH60_S22,CN81_S91,PG214_S18,";"Dog,Duck,Chicken,";0,6132;0,1075
"65";643;7,5;11;3;4;"33,47,47,53,";"BV31_S27,PG265_S127,PG268_S130,PG294_S21,";"Cattle,Chicken,Chicken,Chicken,";0,4179;0,6018
"66";649;1;1;2;2;"72,2,";"CN92_S14,H12_S69,";"Duck,Human,";0,5318;0,287
"67";655;1;1;1;2;"54,54,";"OI31_S15,OI32_S13,";"Goose,Goose,";0,0419;0,199
"68";656;6,16666666666667;9;4;4;"6,26,5,25,";"DI1_S186,E37_S157,PC19_S143,PG137_S205,";"Turkey,Water,Pig,Chicken,";0,0911;0,0712
"69";660;5,5;7;4;4;"15,70,47,57,";"BV23-redeposit_S150,CN89_S106,H242_S271,H283_S147,";"Cattle,Duck,Human,Human,";0,2798;0,1531
"70";667;4;4;1;2;"59,59,";"CN71_S260,DI12_S35,";"Duck,Turkey,";0,034;1
"71";668;6,5;10;3;4;"45,8,59,8,";"DI8_S116,E10_S61,H294_S155,PG47_S192,";"Turkey,Water,Human,Chicken,";0,143;0,3513
"72";681;7,33333333333333;10;1;3;"69,69,69,";"PC100_S268,PC99_S154,PG373-redeposit_S1,";"Pig,Pig,Chicken,";0,5543;0,3672
"73";682;3,66666666666667;5;1;3;"70,70,70,";"CN90_S115,OI53_S76,PG381_S147,";"Duck,Goose,Chicken,";0,4573;1
"74";686;1,5;3;3;4;"39,34,38,39,";"CH57_S20,PC45_S25,PC52_S28,PG213_S17,";"Dog,Pig,Pig,Chicken,";0,533;0,4679
"75";694;5;7;3;3;"23,38,55,";"CN25_S10,CT38_S121,PC85_S132,";"Duck,Cat,Pig,";0,1155;0,3179
"76";695;4;4;2;2;"32,68,";"CT34_S120,H342_S8,";"Cat,Human,";0,1996;0,2109
"77";696;2,5;5;1;4;"16,16,16,16,";"E22_S60,H82_S55,H85_S9,H87_S8,";"Water,Human,Human,Human,";0,1841;0,3875
"78";723;1;1;2;2;"40,39,";"CH59_S21,PG218_S21,";"Dog,Chicken,";0,6263;0,4375
"79";724;1,83333333333333;3;3;4;"36,36,42,38,";"BV36_S28,CH48_S15,OI7_S24,PC53_S29,";"Cattle,Dog,Goose,Pig,";0,1109;0,6722
"80";760;11,4;15;5;5;"14,1,55,47,16,";"BV19_S192,H5-redeposit_S5,PC87_S135,PG271_S133,PG94_S12,";"Cattle,Human,Pig,Chicken,Chicken,";0,7613;0,6235
"81";787;5;5;2;2;"72,52,";"H359_S13,PG289_S145,";"Human,Chicken,";1;0,5
"82";798;3,4;5;2;5;"13,14,14,14,14,";"BV16_S49,CN16_S135,PC25_S142,PG86_S135,PG88_S65,";"Cattle,Duck,Pig,Chicken,Chicken,";0,5358;0,4619
"83";812;4;7;4;4;"28,67,15,52,";"CH37_S54,CH90_S276,PG89_S145,PH11_S157,";"Dog,Dog,Chicken,Chicken,";0,4518;0,8719
"84";826;3;7;3;5;"32,33,44,44,44,";"CN44_S123,E49_S117,H228_S115,PG248_S124,PG250_S3,";"Duck,Water,Human,Chicken,Chicken,";0,6372;0,056
"85";827;4;4;2;2;"72,22,";"CH97_S19,CN24_S20,";"Dog,Duck,";0,2999;0,68
"86";828;5,33333333333333;9;4;4;"38,49,37,55,";"CH54_S17,H248_S10,PG205_S11,PG307_S116,";"Dog,Human,Chicken,Chicken,";0,8993;0,4329
"87";843;3;5;4;4;"22,51,32,47,";"CH26_S43,OI26_S262,PG178_S2,PG273_S20,";"Dog,Goose,Chicken,Chicken,";0,549;1
"88";853;12;12;2;2;"51,68,";"OI24_S130,OI50_S79,";"Goose,Goose,";0,0419;1
"89";854;6,66666666666667;11;3;4;"19,22,22,56,";"H105-redeposit_S38,H122_S136,H125_S106,PG316_S144,";"Human,Human,Human,Chicken,";0,7382;0,1307
"90";868;4,6;6;4;5;"30,54,72,68,30,";"CN40_S154,CN57_S7,H360_S105,OI49_S109,PG166_S136,";"Duck,Duck,Human,Goose,Chicken,";0,5086;1
"91";869;1,33333333333333;2;2;3;"37,56,56,";"H191_S10,OI41_S8,PG317_S150,";"Human,Goose,Chicken,";0,7517;0,5833
"92";875;5,33333333333333;7;3;3;"1,19,39,";"PC2_S25,PC37_S68,PG212_S16,";"Pig,Pig,Chicken,";0,5543;0,2923
"93";893;7;7;2;2;"20,68,";"H108_S199,PG370_S270,";"Human,Chicken,";1;1
"94";894;20;20;2;2;"7,58,";"CH7_S188,H290_S90,";"Dog,Human,";0,491;0,787
"95";916;5,16666666666667;9;3;4;"2,39,39,40,";"BV1_S194,H200_S106,H204_S107,H205_S108,";"Cattle,Human,Human,Human,";0,2085;0,4243
"96";925;10,6666666666667;14;3;3;"38,9,58,";"H196_S105,H42_S271,PG324_S112,";"Human,Human,Chicken,";0,9067;1
"97";930;5,1;10;5;5;"1,55,19,41,47,";"H3_S195,OI35_S123,PG101_S40,PG231_S23,PG270_S132,";"Human,Goose,Chicken,Chicken,Chicken,";0,7995;0,1682
"98";943;2,66666666666667;4;2;3;"57,56,56,";"CH81_S143,PG312_S140,PG314_S141,";"Dog,Chicken,Chicken,";0,7083;0,1486
"99";964;0;0;2;2;"42,49,";"H217_S110,PH5_S105,";"Human,Chicken,";1;1
"100";966;1;2;4;4;"43,54,33,49,";"E63_S120,E79_S7,PG179_S3,PH6_S106,";"Water,Water,Chicken,Chicken,";0,0893;0,6491
"101";969;4;4;2;2;"33,38,";"CH45_S13,CH56_S19,";"Dog,Dog,";0,1223;0,675
"102";970;1;2;4;4;"28,36,56,38,";"CH38_S34,H183_S7,OI38_S16,PC54_S30,";"Dog,Human,Goose,Pig,";0,4289;0,4058
"103";993;2;2;2;2;"43,44,";"H225_S114,H231_S276,";"Human,Human,";0,575;0,0567
"104";994;4;7;4;5;"15,15,34,8,47,";"BV22_S63,CH20_S15,H177_S6,H39_S46,PG266_S128,";"Cattle,Dog,Human,Human,Chicken,";0,5741;0,3138
